;IdColumnIndex=0
5000:0=5000,1=200211,2=20011,3=19,6=1051260355
5001:0=5001,1=200212,2=20012,3=19,6=1051260355
5002:0=5002,1=200213,2=20013,3=19,6=1051260355
5003:0=5003,1=200214,2=20014,3=19,6=1051260355
5004:0=5004,1=200215,2=20015,3=19,6=1051260355
5005:0=5005,1=200216,2=20016,3=19,6=1051260355
5006:0=5006,1=200216,2=20016,3=19,6=1051260355
5007:0=5007,1=200217,2=20017,3=19,6=1051260355
5008:0=5008,1=200217,2=20017,3=19,6=1051260355
5009:0=5009,1=200218,2=20018,3=19,6=1051260355
5010:0=5010,1=200218,2=20018,3=19,6=1051260355
5011:0=5011,1=200219,2=20019,3=19,6=1051260355
5012:0=5012,1=200219,2=20019,3=19,6=1051260355
5013:0=5013,1=200220,2=20020,3=19,6=1051260355
5014:0=5014,1=200220,2=20020,3=19,6=1051260355
5015:0=5015,1=200220,2=20020,3=19,6=1051260355
5016:0=5016,1=200221,2=20021,3=19,6=1051260355
5017:0=5017,1=200221,2=20021,3=19,6=1051260355
5018:0=5018,1=200221,2=20021,3=19,6=1051260355
5019:0=5019,1=200222,2=20022,3=19,6=1051260355
5020:0=5020,1=200222,2=20022,3=19,6=1051260355
5021:0=5021,1=200222,2=20022,3=19,6=1051260355
5022:0=5022,1=200223,2=20023,3=19,6=1051260355
5023:0=5023,1=200223,2=20023,3=19,6=1051260355
5024:0=5024,1=200223,2=20023,3=19,6=1051260355
5025:0=5025,1=200223,2=20023,3=19,6=1051260355
5026:0=5026,1=200224,2=20024,3=19,6=1051260355
5027:0=5027,1=200224,2=20024,3=19,6=1051260355
5028:0=5028,1=200224,2=20024,3=19,6=1051260355
5029:0=5029,1=200224,2=20024,3=19,6=1051260355
5030:0=5030,1=200225,2=20025,3=19,6=1051260355
5031:0=5031,1=200225,2=20025,3=19,6=1051260355
5032:0=5032,1=200225,2=20025,3=19,6=1051260355
5033:0=5033,1=200225,2=20025,3=19,6=1051260355
5034:0=5034,1=200226,2=20026,3=19,6=1051260355
5035:0=5035,1=200226,2=20026,3=19,6=1051260355
5036:0=5036,1=200226,2=20026,3=19,6=1051260355
5037:0=5037,1=200226,2=20026,3=19,6=1051260355
5038:0=5038,1=200226,2=20026,3=19,6=1051260355
5039:0=5039,1=200227,2=20027,3=19,6=1051260355
5040:0=5040,1=200227,2=20027,3=19,6=1051260355
5041:0=5041,1=200227,2=20027,3=19,6=1051260355
5042:0=5042,1=200227,2=20027,3=19,6=1051260355
5043:0=5043,1=200227,2=20027,3=19,6=1051260355
5044:0=5044,1=200228,2=20028,3=19,6=1051260355
5045:0=5045,1=200228,2=20028,3=19,6=1051260355
5046:0=5046,1=200228,2=20028,3=19,6=1051260355
5047:0=5047,1=200228,2=20028,3=19,6=1051260355
5048:0=5048,1=200228,2=20028,3=19,6=1051260355
5049:0=5049,1=200228,2=20028,3=19,6=1051260355
5050:0=5050,1=200229,2=20029,3=19,6=1051260355
5051:0=5051,1=200229,2=20029,3=19,6=1051260355
5052:0=5052,1=200229,2=20029,3=19,6=1051260355
5053:0=5053,1=200229,2=20029,3=19,6=1051260355
5054:0=5054,1=200229,2=20029,3=19,6=1051260355
5055:0=5055,1=200229,2=20029,3=19,6=1051260355
5056:0=5056,1=200230,2=20030,3=19,6=1051260355
5057:0=5057,1=200230,2=20030,3=19,6=1051260355
5058:0=5058,1=200230,2=20030,3=19,6=1051260355
5059:0=5059,1=200230,2=20030,3=19,6=1051260355
5060:0=5060,1=200230,2=20030,3=19,6=1051260355
5061:0=5061,1=200230,2=20030,3=19,6=1051260355
5062:0=5062,1=200231,2=20031,3=19,6=1051260355
5063:0=5063,1=200231,2=20031,3=19,6=1051260355
5064:0=5064,1=200231,2=20031,3=19,6=1051260355
5065:0=5065,1=200231,2=20031,3=19,6=1051260355
5066:0=5066,1=200231,2=20031,3=19,6=1051260355
5067:0=5067,1=200231,2=20031,3=19,6=1051260355
5068:0=5068,1=200231,2=20031,3=19,6=1051260355
5069:0=5069,1=200232,2=20032,3=19,6=1051260355
5070:0=5070,1=200232,2=20032,3=19,6=1051260355
5071:0=5071,1=200232,2=20032,3=19,6=1051260355
5072:0=5072,1=200232,2=20032,3=19,6=1051260355
5073:0=5073,1=200232,2=20032,3=19,6=1051260355
5074:0=5074,1=200232,2=20032,3=19,6=1051260355
5075:0=5075,1=200232,2=20032,3=19,6=1051260355
5076:0=5076,1=200233,2=20033,3=19,6=1051260355
5077:0=5077,1=200233,2=20033,3=19,6=1051260355
5078:0=5078,1=200233,2=20033,3=19,6=1051260355
5079:0=5079,1=200233,2=20033,3=19,6=1051260355
5080:0=5080,1=200233,2=20033,3=19,6=1051260355
5081:0=5081,1=200233,2=20033,3=19,6=1051260355
5082:0=5082,1=200233,2=20033,3=19,6=1051260355
5083:0=5083,1=200233,2=20033,3=19,6=1051260355
5084:0=5084,1=200234,2=20034,3=19,6=1051260355
5085:0=5085,1=200234,2=20034,3=19,6=1051260355
5086:0=5086,1=200234,2=20034,3=19,6=1051260355
5087:0=5087,1=200234,2=20034,3=19,6=1051260355
5088:0=5088,1=200234,2=20034,3=19,6=1051260355
5089:0=5089,1=200234,2=20034,3=19,6=1051260355
5090:0=5090,1=200234,2=20034,3=19,6=1051260355
5091:0=5091,1=200234,2=20034,3=19,6=1051260355
5092:0=5092,1=200235,2=20035,3=19,6=1051260355
5093:0=5093,1=200235,2=20035,3=19,6=1051260355
5094:0=5094,1=200235,2=20035,3=19,6=1051260355
5095:0=5095,1=200235,2=20035,3=19,6=1051260355
5096:0=5096,1=200235,2=20035,3=19,6=1051260355
5097:0=5097,1=200235,2=20035,3=19,6=1051260355
5098:0=5098,1=200235,2=20035,3=19,6=1051260355
5099:0=5099,1=200235,2=20035,3=19,6=1051260355
5100:0=5100,1=200235,2=20035,3=19,6=1051260355
5101:0=5101,1=200236,2=20036,3=19,6=1051260355
5102:0=5102,1=200236,2=20036,3=19,6=1051260355
5103:0=5103,1=200236,2=20036,3=19,6=1051260355
5104:0=5104,1=200236,2=20036,3=19,6=1051260355
5105:0=5105,1=200236,2=20036,3=19,6=1051260355
5106:0=5106,1=200236,2=20036,3=19,6=1051260355
5107:0=5107,1=200236,2=20036,3=19,6=1051260355
5108:0=5108,1=200236,2=20036,3=19,6=1051260355
5109:0=5109,1=200236,2=20036,3=19,6=1051260355
5110:0=5110,1=200237,2=20037,3=19,6=1051260355
5111:0=5111,1=200237,2=20037,3=19,6=1051260355
5112:0=5112,1=200237,2=20037,3=19,6=1051260355
5113:0=5113,1=200237,2=20037,3=19,6=1051260355
5114:0=5114,1=200237,2=20037,3=19,6=1051260355
5115:0=5115,1=200237,2=20037,3=19,6=1051260355
5116:0=5116,1=200237,2=20037,3=19,6=1051260355
5117:0=5117,1=200237,2=20037,3=19,6=1051260355
5118:0=5118,1=200237,2=20037,3=19,6=1051260355
5119:0=5119,1=200237,2=20037,3=19,6=1051260355
5120:0=5120,1=200238,2=20038,3=19,6=1051260355
5121:0=5121,1=200238,2=20038,3=19,6=1051260355
5122:0=5122,1=200238,2=20038,3=19,6=1051260355
5123:0=5123,1=200238,2=20038,3=19,6=1051260355
5124:0=5124,1=200238,2=20038,3=19,6=1051260355
5125:0=5125,1=200238,2=20038,3=19,6=1051260355
5126:0=5126,1=200238,2=20038,3=19,6=1051260355
5127:0=5127,1=200238,2=20038,3=19,6=1051260355
5128:0=5128,1=200238,2=20038,3=19,6=1051260355
5129:0=5129,1=200238,2=20038,3=19,6=1051260355
5130:0=5130,1=200239,2=20039,3=19,6=1051260355
5131:0=5131,1=200239,2=20039,3=19,6=1051260355
5132:0=5132,1=200239,2=20039,3=19,6=1051260355
5133:0=5133,1=200239,2=20039,3=19,6=1051260355
5134:0=5134,1=200239,2=20039,3=19,6=1051260355
5135:0=5135,1=200239,2=20039,3=19,6=1051260355
5136:0=5136,1=200239,2=20039,3=19,6=1051260355
5137:0=5137,1=200239,2=20039,3=19,6=1051260355
5138:0=5138,1=200239,2=20039,3=19,6=1051260355
5139:0=5139,1=200239,2=20039,3=19,6=1051260355
5140:0=5140,1=200239,2=20039,3=19,6=1051260355
5141:0=5141,1=200240,2=20040,3=19,6=1051260355
5142:0=5142,1=200240,2=20040,3=19,6=1051260355
5143:0=5143,1=200240,2=20040,3=19,6=1051260355
5144:0=5144,1=200240,2=20040,3=19,6=1051260355
5145:0=5145,1=200240,2=20040,3=19,6=1051260355
5146:0=5146,1=200240,2=20040,3=19,6=1051260355
5147:0=5147,1=200240,2=20040,3=19,6=1051260355
5148:0=5148,1=200240,2=20040,3=19,6=1051260355
5149:0=5149,1=200240,2=20040,3=19,6=1051260355
5150:0=5150,1=200240,2=20040,3=19,6=1051260355
5151:0=5151,1=200240,2=20040,3=19,6=1051260355
5152:0=5152,1=200240,2=20040,3=19,6=1051260355
5153:0=5153,1=200241,2=20041,3=19,6=1051260355
5154:0=5154,1=200241,2=20041,3=19,6=1051260355
5155:0=5155,1=200241,2=20041,3=19,6=1051260355
5156:0=5156,1=200241,2=20041,3=19,6=1051260355
5157:0=5157,1=200241,2=20041,3=19,6=1051260355
5158:0=5158,1=200241,2=20041,3=19,6=1051260355
5159:0=5159,1=200241,2=20041,3=19,6=1051260355
5160:0=5160,1=200241,2=20041,3=19,6=1051260355
5161:0=5161,1=200241,2=20041,3=19,6=1051260355
5162:0=5162,1=200241,2=20041,3=19,6=1051260355
5163:0=5163,1=200241,2=20041,3=19,6=1051260355
5164:0=5164,1=200241,2=20041,3=19,6=1051260355
5165:0=5165,1=200242,2=20042,3=19,6=1051260355
